"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2013",2016,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",27500
"QUEENS","2015",2016,"Civil Rights Claims",6000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",10000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",45001
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",5000
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",75000
"QUEENS","2012",2016,"Peace Officer/Police Action (Pi)",75000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",17500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",17500
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",10000
"MANHATTAN (NEW YORK)","2014",2016,"Civil Rights Claims",30000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident (Pi)",20000
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",10000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",8000
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident (Pi)",10000
"BRONX","2014",2016,"Employee Uniformed Service (Pi)",40000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",37500
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",17500
"MANHATTAN (NEW YORK)","2015",2016,"Automobile Accident",1553.98
"** Borough Missing **","2015",2016,"Civil Rights Claims",1000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",6000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",15000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",5000
"BRONX","2015",2016,"Civil Rights Claims",15000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",22500
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
