"launch_speed","launch_angle","event"
88.3,51,"Out"
94.4,25,"Out"
63.7,-31,"Out"
102.3,7,"Out"
103.8,18,"Hit - Not Home Run"
81.9,41,"Out"
71.4,31,"Hit - Not Home Run"
109,16,"Hit - Not Home Run"
97.1,21,"Out"
106.2,7,"Hit - Not Home Run"
99,25,"Out"
102.8,-21,"Out"
82.9,-21,"Out"
72.2,-34,"Out"
52.1,-20,"Out"
100.7,23,"Home Run"
96,32,"Out"
82.2,6,"Hit - Not Home Run"
82.9,-21,"Out"
103.8,28,"Home Run"
98.5,20,"Hit - Not Home Run"
100.1,50,"Out"
99,16,"Out"
66.6,17,"Hit - Not Home Run"
74.1,-24,"Out"
103.3,-5,"Hit - Not Home Run"
71.4,36,"Hit - Not Home Run"
79.4,43,"Out"
61.9,25,"Hit - Not Home Run"
100.3,-13,"Hit - Not Home Run"
104.8,15,"Out"
98.2,12,"Hit - Not Home Run"
95.4,7,"Hit - Not Home Run"
93.5,26,"Out"
104.9,14,"Hit - Not Home Run"
88,17,"Hit - Not Home Run"
99.1,-25,"Out"
80,69,"Out"
95.4,32,"Out"
97.9,36,"Out"
109,0,"Hit - Not Home Run"
70.4,1,"Out"
80,69,"Out"
79.2,17,"Hit - Not Home Run"
82.9,-21,"Out"
106.2,2,"Out"
89.5,8,"Hit - Not Home Run"
67.2,-36,"Out"
92.6,-34,"Out"
95,33,"Home Run"
92.7,52,"Out"
81.4,29,"Out"
103.6,-22,"Out"
95,-10,"Out"
100.7,41,"Out"
70.5,13,"Out"
95,11,"Hit - Not Home Run"
90.9,8,"Out"
94.1,50,"Out"
